age_group,Potencia,FUERZA PATRIA,LIBERTAD AVANZA,PRIMERO ROSALES,Somos,Union y libertad,Es con vos,FIT
"(16, 24)",5.782200360366089e-20,0.2659798478123996,0.4749272879366486,0.15503067545422694,0.026840794454273807,0.05271046990776894,2.7599652146434577e-09,0.02451092167471685
"(25, 30)",0.24498532581232646,0.3608596285202496,0.29416000836156353,6.829015038396666e-05,0.07563175816540355,4.5089500602734565e-09,1.801600724735761e-28,0.024294984481122734
"(31, 44)",1.2454734076847502e-10,0.21495671354982926,0.5470230253309052,0.03088493745864159,0.034480336128231634,0.1362609811654335,0.01751210011110343,0.01888190613130805
"(45, 60)",0.05149484576768255,0.10001002333212101,0.7186438737997998,0.03755996625963335,0.01665013759445467,0.00947809868602192,0.0009839341990620601,0.06517912036122475
"(61, 200)",0.49317012681968897,0.3360790663241862,0.00038362952128248286,9.9106282552527e-07,0.10179020389251356,0.05087143425172019,0.0073412599275661725,0.010363288200216954
