age_group,LLA,NUEVO BUENOS AIRES,LIBERAR,FIT,FRENTE PATRIOTA FEDERAL,UNION LIBERAL,ALIANZA FUERZA PATRIA,COALICION CIVICA ARI,MOV. POL. SOC. Y CULTURAL PROYECTO SUR,PROPUESTA FEDERAL PARA EL CAMBIO,ALIANZA PROVINCIAS UNIDAS,ALIANZA POTENCIA,ALIANZA UNION FEDERAL,ALIANZA NUEVOS AIRES,MOVIMIENTO AVANZADA SOCIALISTA
"(16, 24)",0.9585845291788228,8.542731467277679e-64,0.006381348521038308,4.108681526154363e-29,1.9556898061678034e-38,0.03477858530302853,8.804522671715037e-17,1.35699789699992e-77,5.440871872223808e-82,3.166391168446009e-14,7.572248993176706e-97,4.30138651927636e-24,0.0002555369970700077,8.690458500313632e-15,1.1273863538877932e-20
"(25, 30)",2.222644783906669e-09,0.06758554817289845,0.019265921634106856,0.21655567131231282,0.00012913925058353538,2.4310028889252948e-33,0.6056809763774185,0.02247780042938163,4.8645524210921563e-76,0.015691418897187292,8.970501788130512e-49,0.052613521698975506,4.490760883753952e-12,3.512299850219303e-44,3.387655700193467e-46
"(31, 44)",0.7032625443424769,0.004141503326837886,1.5047777388527215e-08,4.005486393145438e-14,0.04402339034516073,6.806052386188963e-62,0.07210204228335922,6.9371112432957025e-28,7.487322145171977e-41,0.11636606638857372,2.804371905175763e-43,0.017018183837710366,0.012404573839446877,2.918994240508459e-46,0.030681680588616794
"(45, 60)",0.9480698881896336,6.877325639214794e-50,7.682910664153398e-128,0.008083168635566247,6.542857259793159e-64,4.344941805531449e-147,8.34271176937419e-40,0.0025146184587438356,0.020445172813613147,1.3339020426675432e-39,1.3392778885318532e-66,6.440988314632568e-32,2.4831671127989622e-142,0.02082175221330798,6.539968913544377e-05
"(61, 200)",0.2056537255284453,0.01545498577566972,1.3950868915700284e-249,0.028988068518768624,0.008240376585363179,5.2496635213532233e-82,0.5166330995438967,0.021935989351989656,0.013222450227791747,1.291252392133701e-11,0.11319067302377984,0.06248751814535315,2.976107080196294e-73,0.0037988270389602017,0.010394286247069343
